model,task_family,capability,cot_state,n,mean_delta,abs_mean_delta,ci_low_2.5,ci_high_97.5
Qwen3-4B-Base,RB,RP,no_cot,25,-0.38369129797332874,0.5672701472893269,-0.6196057021329179,-0.14011566485187413
Qwen3-4B-Base,RB,RB,no_cot,25,-0.4950845329798315,0.5443983243740652,-0.7068806335579637,-0.2974367425865882
Qwen3-4B-Base,RB,RD,no_cot,25,-0.1645996555841217,0.4227201476786286,-0.3750404740163746,0.04284797788279442
Qwen3-4B-Base,RB,RP,with_cot,25,-0.4435602541057216,0.571247609524012,-0.6760553119430939,-0.22574873906618456
Qwen3-4B-Base,RB,RB,with_cot,25,-0.6603629560715386,0.7022300691849419,-0.9045698753668526,-0.4292414767523518
Qwen3-4B-Base,RB,RD,with_cot,25,-0.31538685675422173,0.4384280037478588,-0.49789033587188236,-0.14104004231227252
Qwen3-4B-Base,Hybrid,CP,no_cot,25,0.7570674184014399,1.117684545819958,0.2948602290452768,1.2632196498226993
Qwen3-4B-Base,Hybrid,CB,no_cot,25,-0.3969133884335557,0.7601930702353517,-0.7193056750412408,-0.08001409434154645
Qwen3-4B-Base,Hybrid,CB-control,no_cot,25,-1.069600711878389,1.1207167337499557,-1.492198787524551,-0.6884544638376683
Qwen3-4B-Base,Hybrid,CD,no_cot,25,-0.3710525174091259,0.9025255651424328,-0.7882909875679761,0.04408833560906342
Qwen3-4B-Base,Hybrid,CP,with_cot,25,-0.003780321958474824,0.47798381758698577,-0.26223512637324164,0.23963686203716003
Qwen3-4B-Base,Hybrid,CB,with_cot,25,-0.023569274601216127,0.4538375684066365,-0.26100785558810463,0.20632100680712612
Qwen3-4B-Base,Hybrid,CB-control,with_cot,25,-0.18231208844700206,0.6052254102996861,-0.44126707074337174,0.09530009850828595
Qwen3-4B-Base,Hybrid,CD,with_cot,25,-0.8160664824244256,0.8747512129542108,-1.1071701670896184,-0.5533540952096228
Qwen3-4B,KB,KP,no_cot,25,-0.7223599128399651,0.9448378267500962,-1.1857900901539087,-0.3164889165580817
Qwen3-4B,KB,KD,no_cot,25,-0.8971060170553292,0.9565934708026496,-1.4509368959413578,-0.4333282985134184
Qwen3-4B,KB,KB,no_cot,25,-0.056674417476372765,0.47067790826731853,-0.439425952622118,0.2729765346377584
Qwen3-4B,KB,KP,with_cot,25,-0.7834619759527576,0.9744935208106807,-1.430091396256388,-0.27135891680073976
Qwen3-4B,KB,KD,with_cot,25,-0.8675711600146383,0.9567482390248152,-1.4016267133716984,-0.4383406565094089
Qwen3-4B,KB,KB,with_cot,25,-0.15644263231323058,0.7717142766584618,-0.7845230532253777,0.36525945520526865
Qwen3-4B,RB,RP,no_cot,25,-0.7233611298111248,1.1413765877714142,-1.2768670057075588,-0.2039431348837914
Qwen3-4B,RB,RB,no_cot,25,-0.3412177702943449,0.7896747084190378,-0.7174855731733129,0.028675245883156626
Qwen3-4B,RB,RD,no_cot,25,-1.0904053837790344,1.2946397323642425,-1.4813281727029934,-0.6865132207404614
