model,repair_axis,endpoint,metric,target_repair_fraction,fixed_tau_saturating_absolute_error,nearest_q10_absolute_error,log_linear_absolute_error,raw_linear_absolute_error
Qwen/Qwen3-0.6B,ANS,PARA,mean_per_item_nll,0.2,0.004021987139898098,0.00032035443690014986,0.002220714913332422,0.002222106159437409
Qwen/Qwen3-0.6B,EVD,ANS,bits_per_byte,0.2,0.00771444578418401,0.006655222066388133,0.0011594971724880887,0.0011315631752176758
Qwen/Qwen3-0.6B,EVD,ANS,mean_per_item_nll,0.2,0.03342028965556132,0.028831552570733443,0.005023138724858711,0.004902123903298694
Qwen/Qwen3-0.6B,EVD,Clean,bits_per_byte,0.2,0.00041096436925336377,0.0009333615386069027,0.009359796989027336,0.009417482608615968
Qwen/Qwen3-0.6B,EVD,Clean,mean_per_item_nll,0.2,0.0004192600089694132,0.0021744078628289643,0.017545653481103596,0.017649794651127593
Qwen/Qwen3-0.6B,EVD,EVD,bits_per_byte,0.2,9.617489489821551e-05,0.000648987072727758,0.009039162482175955,0.009097698763774309
Qwen/Qwen3-0.6B,EVD,EVD,mean_per_item_nll,0.2,0.00021502496349024014,0.0016048093910816519,0.01701683715931468,0.01712367122168601
Qwen/Qwen3-0.6B,EVD,FMT,bits_per_byte,0.2,0.0012903379359542333,0.0027318271580565323,0.0026782377502970744,0.0026786543321600798
Qwen/Qwen3-0.6B,EVD,FMT,mean_per_item_nll,0.2,0.0030217484843517717,0.0064710207194573766,0.005116619762675745,0.00511899240990088
Qwen/Qwen3-0.6B,EVD,PARA,bits_per_byte,0.2,0.004696945402099972,0.003988857099108678,0.005543596079727653,0.005612914203730224
Qwen/Qwen3-0.6B,EVD,PARA,mean_per_item_nll,0.2,0.0071371273915250555,0.005675266446142135,0.011021701261242356,0.01113606109613352
Qwen/Qwen3-0.6B,FMT,ANS,bits_per_byte,0.2,0.0032885977969218105,0.00038352896085325217,0.005110018892584889,0.005136683281535381
Qwen/Qwen3-0.6B,FMT,ANS,mean_per_item_nll,0.2,0.014246764318325056,0.0016615126117409673,0.022137469925020525,0.02225298458766023
Qwen/Qwen3-0.6B,FMT,Clean,bits_per_byte,0.2,0.0021446235098088184,0.0017385661593536383,0.0002800972744443353,0.00029044990335513887
Qwen/Qwen3-0.6B,FMT,Clean,mean_per_item_nll,0.2,0.0039661281296616835,0.0028070124192050017,0.0005689471870713447,0.0005873134850311601
Qwen/Qwen3-0.6B,FMT,EVD,bits_per_byte,0.2,0.004386259012914673,0.0016353635176378223,0.0008342429596446266,0.0008397035921663409
Qwen/Qwen3-0.6B,FMT,EVD,mean_per_item_nll,0.2,0.00825875567788259,0.0033245551467686596,0.0015417728581024193,0.0015526876424201141
Qwen/Qwen3-0.6B,FMT,FMT,bits_per_byte,0.2,0.007973382098384607,0.014254452117272165,0.020883705677973485,0.02244929285398045
Qwen/Qwen3-0.6B,FMT,FMT,mean_per_item_nll,0.2,0.013232702783349648,0.02975398841912713,0.04343350834154158,0.04741933638950813
Qwen/Qwen3-0.6B,FMT,PARA,bits_per_byte,0.2,0.0036237699376480137,7.430998751090101e-05,0.00240770563903947,0.002416017917564961
Qwen/Qwen3-0.6B,FMT,PARA,mean_per_item_nll,0.2,0.006850500053773967,7.434610442214051e-05,0.005701011141320489,0.0057219027926893595
Qwen/Qwen3-0.6B,PARA,ANS,bits_per_byte,0.2,0.0035060531085309155,0.0028949114280891752,0.00020954545208862196,0.0002196450232386793
Qwen/Qwen3-0.6B,PARA,ANS,mean_per_item_nll,0.2,0.01518881766919744,0.01254124808969248,0.0009077864957145465,0.0009515395536370264
Qwen/Qwen3-0.6B,PARA,Clean,bits_per_byte,0.2,0.002643226771059881,0.0018955415961470212,0.005721164572505932,0.005762006288857702
Qwen/Qwen3-0.6B,PARA,Clean,mean_per_item_nll,0.2,0.004506947509446135,0.003166976193238913,0.011044281871756656,0.011121998772246844
Qwen/Qwen3-0.6B,PARA,EVD,bits_per_byte,0.2,0.0026462301875400662,0.0022848241747219777,0.005133152191971302,0.005175045911802512
Qwen/Qwen3-0.6B,PARA,EVD,mean_per_item_nll,0.2,0.004720866133920865,0.0041750330972845084,0.009355404892411823,0.009432061275913117
Qwen/Qwen3-0.6B,PARA,FMT,bits_per_byte,0.2,0.0018542316960614702,0.0011899631727431137,0.0010489372073209102,0.0010484791012334016
Qwen/Qwen3-0.6B,PARA,FMT,mean_per_item_nll,0.2,0.004179164790435008,0.002460792678540269,0.0018099728369944668,0.0018082470093294667
Qwen/Qwen3-0.6B,PARA,PARA,bits_per_byte,0.2,0.0040618941948704634,0.0032862154157886625,0.006012323276766152,0.006076290520667049
Qwen/Qwen3-0.6B,PARA,PARA,mean_per_item_nll,0.2,0.0077003322339628255,0.0061946985317802294,0.010665619576876395,0.010777957132175331
Qwen/Qwen3-1.7B,ANS,ANS,bits_per_byte,0.2,0.010962449163958277,0.018729215364039042,0.0046714045292208795,0.004446890207542076
Qwen/Qwen3-1.7B,ANS,ANS,mean_per_item_nll,0.2,0.04749119206268437,0.08113814264802333,0.020237317991778525,0.01926468381011004
Qwen/Qwen3-1.7B,ANS,Clean,bits_per_byte,0.2,0.005470932876673107,0.005742569241326212,0.014067763326879756,0.014003369182462366
Qwen/Qwen3-1.7B,ANS,Clean,mean_per_item_nll,0.2,0.010340153123540308,0.010792413604283624,0.02662969381253788,0.026504674278972296
Qwen/Qwen3-1.7B,ANS,EVD,bits_per_byte,0.2,0.0035292316627753006,0.003770865561097958,0.012231553149737007,0.012160612506239454
Qwen/Qwen3-1.7B,ANS,EVD,mean_per_item_nll,0.2,0.006556767056116186,0.006967080728645048,0.022809774808918437,0.02267315013420701
Qwen/Qwen3-1.7B,ANS,FMT,bits_per_byte,0.2,0.04823838337142661,0.05971899582798201,0.014425590782848552,0.013456840899391587
Qwen/Qwen3-1.7B,ANS,FMT,mean_per_item_nll,0.2,0.07145686845822397,0.09252000886632494,0.02349329424461999,0.022262553689755826
Qwen/Qwen3-1.7B,ANS,PARA,bits_per_byte,0.2,0.004719745807277853,0.006078086805557437,0.01304504848071586,0.012997965513178666
Qwen/Qwen3-1.7B,ANS,PARA,mean_per_item_nll,0.2,0.008604236719017333,0.010927459612276813,0.024101600049807992,0.02401560647571488
Qwen/Qwen3-1.7B,EVD,ANS,bits_per_byte,0.2,0.011185644946783535,0.00932169057842458,0.000952089267468148,0.0010383795907731308
